enhancer_id	size	covered	sum	mean0	mean	dataset_label	genome_build_quant	quant_file	factor	source_db	series_accession	sample_accession	run_accession	assay_type	tissue	limb_type	dev_stage	genotype	replicate	control_accession	genome_build	file_type	download_url	preferred_use	reason_if_not_score	notes	rank_desc_mean0	percentile_rank
mm2080	5250	1377	6892.7	1.3129	5.00559	GSM1342122_HAND2_LIMB_WT	mm9	GSM1342122_HAND2_LIMB_WT.mm9.bigWigAverageOverBed.tsv	HAND2	GEO	GSE55707	GSM1342122		ChIP-seq	embryonic limb bud	limb_unspecified	E10.5	WT		GSM1342124	mm9	wig->bigWig	ftp_geo_series_tar	score	HAND2 WT weighted coverage WIG from GSE55707 RAW tar		7.0	0.5
mm2176	5457	2101	20830.1	3.81713	9.91436	GSM1342122_HAND2_LIMB_WT	mm9	GSM1342122_HAND2_LIMB_WT.mm9.bigWigAverageOverBed.tsv	HAND2	GEO	GSE55707	GSM1342122		ChIP-seq	embryonic limb bud	limb_unspecified	E10.5	WT		GSM1342124	mm9	wig->bigWig	ftp_geo_series_tar	score	HAND2 WT weighted coverage WIG from GSE55707 RAW tar		3.0	0.8333333333333334
mm1859	5188	1400	2108.0	0.406322	1.50571	GSM1342122_HAND2_LIMB_WT	mm9	GSM1342122_HAND2_LIMB_WT.mm9.bigWigAverageOverBed.tsv	HAND2	GEO	GSE55707	GSM1342122		ChIP-seq	embryonic limb bud	limb_unspecified	E10.5	WT		GSM1342124	mm9	wig->bigWig	ftp_geo_series_tar	score	HAND2 WT weighted coverage WIG from GSE55707 RAW tar		9.0	0.3333333333333333
mm2164	5620	1200	9178.0	1.6331	7.64833	GSM1342122_HAND2_LIMB_WT	mm9	GSM1342122_HAND2_LIMB_WT.mm9.bigWigAverageOverBed.tsv	HAND2	GEO	GSE55707	GSM1342122		ChIP-seq	embryonic limb bud	limb_unspecified	E10.5	WT		GSM1342124	mm9	wig->bigWig	ftp_geo_series_tar	score	HAND2 WT weighted coverage WIG from GSE55707 RAW tar		6.0	0.5833333333333334
mm1887	5267	1000	820.0	0.155686	0.82	GSM1342122_HAND2_LIMB_WT	mm9	GSM1342122_HAND2_LIMB_WT.mm9.bigWigAverageOverBed.tsv	HAND2	GEO	GSE55707	GSM1342122		ChIP-seq	embryonic limb bud	limb_unspecified	E10.5	WT		GSM1342124	mm9	wig->bigWig	ftp_geo_series_tar	score	HAND2 WT weighted coverage WIG from GSE55707 RAW tar		10.0	0.25
mm1179	1516	400	88.0	0.0580475	0.22	GSM1342122_HAND2_LIMB_WT	mm9	GSM1342122_HAND2_LIMB_WT.mm9.bigWigAverageOverBed.tsv	HAND2	GEO	GSE55707	GSM1342122		ChIP-seq	embryonic limb bud	limb_unspecified	E10.5	WT		GSM1342124	mm9	wig->bigWig	ftp_geo_series_tar	score	HAND2 WT weighted coverage WIG from GSE55707 RAW tar		12.0	0.08333333333333333
mm1889	5399	900	3670.0	0.679756	4.07778	GSM1342122_HAND2_LIMB_WT	mm9	GSM1342122_HAND2_LIMB_WT.mm9.bigWigAverageOverBed.tsv	HAND2	GEO	GSE55707	GSM1342122		ChIP-seq	embryonic limb bud	limb_unspecified	E10.5	WT		GSM1342124	mm9	wig->bigWig	ftp_geo_series_tar	score	HAND2 WT weighted coverage WIG from GSE55707 RAW tar		8.0	0.4166666666666667
CNE14_hs1586_mm1977	1119	224	4670.24	4.17358	20.8493	GSM1342122_HAND2_LIMB_WT	mm9	GSM1342122_HAND2_LIMB_WT.mm9.bigWigAverageOverBed.tsv	HAND2	GEO	GSE55707	GSM1342122		ChIP-seq	embryonic limb bud	limb_unspecified	E10.5	WT		GSM1342124	mm9	wig->bigWig	ftp_geo_series_tar	score	HAND2 WT weighted coverage WIG from GSE55707 RAW tar		2.0	0.9166666666666666
mm2018	5256	478	11250.0	2.14041	23.5356	GSM1342122_HAND2_LIMB_WT	mm9	GSM1342122_HAND2_LIMB_WT.mm9.bigWigAverageOverBed.tsv	HAND2	GEO	GSE55707	GSM1342122		ChIP-seq	embryonic limb bud	limb_unspecified	E10.5	WT		GSM1342124	mm9	wig->bigWig	ftp_geo_series_tar	score	HAND2 WT weighted coverage WIG from GSE55707 RAW tar		4.0	0.75
CNE18	700	379	1174.0	1.67714	3.09763	GSM1342122_HAND2_LIMB_WT	mm9	GSM1342122_HAND2_LIMB_WT.mm9.bigWigAverageOverBed.tsv	HAND2	GEO	GSE55707	GSM1342122		ChIP-seq	embryonic limb bud	limb_unspecified	E10.5	WT		GSM1342124	mm9	wig->bigWig	ftp_geo_series_tar	score	HAND2 WT weighted coverage WIG from GSE55707 RAW tar		5.0	0.6666666666666666
CNE19	613	0	0.0	0.0	0.0	GSM1342122_HAND2_LIMB_WT	mm9	GSM1342122_HAND2_LIMB_WT.mm9.bigWigAverageOverBed.tsv	HAND2	GEO	GSE55707	GSM1342122		ChIP-seq	embryonic limb bud	limb_unspecified	E10.5	WT		GSM1342124	mm9	wig->bigWig	ftp_geo_series_tar	score	HAND2 WT weighted coverage WIG from GSE55707 RAW tar		13.0	0.0
CNE21	690	100	100.0	0.144928	1.0	GSM1342122_HAND2_LIMB_WT	mm9	GSM1342122_HAND2_LIMB_WT.mm9.bigWigAverageOverBed.tsv	HAND2	GEO	GSE55707	GSM1342122		ChIP-seq	embryonic limb bud	limb_unspecified	E10.5	WT		GSM1342124	mm9	wig->bigWig	ftp_geo_series_tar	score	HAND2 WT weighted coverage WIG from GSE55707 RAW tar		11.0	0.16666666666666666
CNE13	425	173	3282.33	7.72313	18.973	GSM1342122_HAND2_LIMB_WT	mm9	GSM1342122_HAND2_LIMB_WT.mm9.bigWigAverageOverBed.tsv	HAND2	GEO	GSE55707	GSM1342122		ChIP-seq	embryonic limb bud	limb_unspecified	E10.5	WT		GSM1342124	mm9	wig->bigWig	ftp_geo_series_tar	score	HAND2 WT weighted coverage WIG from GSE55707 RAW tar		1.0	1.0
mm2080	5250	477	199.77	0.0380514	0.418805	GSM1447340_HAND2_LIMB_3xF_reproc	mm9	GSM1447340_HAND2_LIMB_3xF_reproc.mm9.bigWigAverageOverBed.tsv	HAND2	GEO	GSE55707	GSM1447340		ChIP-seq	embryonic limb bud	limb_unspecified	E10.5	3xF_reprocessed		GSM1447341	mm9	wig->bigWig	ftp_geo_series_tar	descriptive_only	Sparser dynamic range and higher zero count across 13 enhancers	Retained for sensitivity/QC, excluded from primary factor scoring aggregation	5.0	0.6666666666666666
