comparison	spearman	pearson
PITX1_rep1_vs_rep2	0.989010989010989	0.9680477029503812
HAND2_WT_vs_3xF	0.5722151217959586	0.3063146743139362
HAND2_WT_vs_3xF_reproc	0.16182267881254694	0.33454159184952026
