mm2080	5250	2653	4426	0.843048	1.6683
mm2176	5457	1916	3008	0.551219	1.56994
mm1859	5188	2868	4728	0.911334	1.64854
mm2164	5620	3340	4820	0.857651	1.44311
mm1887	5267	160	160	0.0303778	1
mm1179	1516	0	0	0	0
mm1889	5399	3899	7558	1.39989	1.93845
CNE14_hs1586_mm1977	1119	1119	5749	5.13762	5.13762
mm2018	5256	4478	12108	2.30365	2.70389
CNE18	700	640	2438	3.48286	3.80938
CNE19	613	563	1857	3.02936	3.2984
CNE21	690	587	1237	1.79275	2.10733
CNE13	425	395	788	1.85412	1.99494
