mm2080	5250	1377	6892.7	1.3129	5.00559
mm2176	5457	2101	20830.1	3.81713	9.91436
mm1859	5188	1400	2108	0.406322	1.50571
mm2164	5620	1200	9178	1.6331	7.64833
mm1887	5267	1000	820	0.155686	0.82
mm1179	1516	400	88	0.0580475	0.22
mm1889	5399	900	3670	0.679756	4.07778
CNE14_hs1586_mm1977	1119	224	4670.24	4.17358	20.8493
mm2018	5256	478	11250	2.14041	23.5356
CNE18	700	379	1174	1.67714	3.09763
CNE19	613	0	0	0	0
CNE21	690	100	100	0.144928	1
CNE13	425	173	3282.33	7.72313	18.973
